Usuario,id_equipo,RESPONISVA,FECHA DE ASIGNACION,estatus
1,2,1,1900-01-01,ACTIVO
1,3,1,1900-01-01,ACTIVO
2,4,1,1900-01-01,ACTIVO
2,5,1,1900-01-01,ACTIVO
3,6,0,2021-05-19,ACTIVO
3,7,0,2021-05-19,ACTIVO
4,8,1,2021-04-22,ACTIVO
4,9,1,2021-04-22,ACTIVO
5,10,1,2021-09-23,ACTIVO
5,11,1,2021-09-23,ACTIVO
6,12,1,2021-04-16,ACTIVO
7,13,1,2019-09-28,ACTIVO
7,14,0,1900-01-01,ACTIVO
7,15,1,2021-09-29,ACTIVO
7,16,0,1900-01-01,ACTIVO
8,17,1,2021-04-24,ACTIVO
8,18,1,2021-04-24,ACTIVO
9,19,1,2021-06-02,ACTIVO
9,20,1,2018-12-29,ACTIVO
10,21,1,2019-12-18,ACTIVO
10,22,1,2019-12-18,ACTIVO
10,23,1,2019-12-18,ACTIVO
10,24,1,2020-02-21,ACTIVO
11,25,1,2019-12-26,ACTIVO
11,26,1,2019-12-26,ACTIVO
11,27,1,2021-10-06,ACTIVO
11,28,1,2021-10-06,ACTIVO
12,29,1,2021-05-18,ACTIVO
12,30,1,2021-05-18,ACTIVO
13,31,0,2021-12-08,ACTIVO
13,32,1,1900-01-01,ACTIVO
13,33,1,2019-11-30,ACTIVO
13,34,1,2020-06-12,ACTIVO
14,35,0,2021-04-20,ACTIVO
15,36,1,2022-02-09,ACTIVO
15,37,1,2022-02-09,ACTIVO
16,38,1,2021-05-31,ACTIVO
16,39,1,2021-05-31,ACTIVO
16,40,1,2021-05-31,ACTIVO
17,41,1,2020-01-27,ACTIVO
17,42,1,2022-01-24,ACTIVO
18,43,1,2021-10-05,ACTIVO
19,44,1,2022-02-09,ACTIVO
20,45,1,2021-03-25,ACTIVO
21,46,1,2021-05-31,ACTIVO
21,47,1,2021-05-31,ACTIVO
22,48,1,2021-07-23,ACTIVO
23,49,1,2021-10-22,ACTIVO
23,50,1,2021-10-22,ACTIVO
24,51,1,2021-06-01,ACTIVO
24,52,1,2019-10-28,ACTIVO
24,53,1,2020-01-27,ACTIVO
25,54,1,2019-12-27,ACTIVO
25,55,1,2019-12-13,ACTIVO
25,56,1,2019-12-13,ACTIVO
25,57,1,2019-12-27,ACTIVO
25,58,1,2021-05-26,ACTIVO
26,59,1,2021-10-26,ACTIVO
26,60,1,2021-10-26,ACTIVO
27,61,0,1900-01-01,ACTIVO
27,62,0,1900-01-01,ACTIVO
28,63,0,1900-01-01,ACTIVO
28,64,0,1900-01-01,ACTIVO
29,65,1,2021-10-01,ACTIVO
30,66,0,2022-02-01,ACTIVO
30,67,0,2022-02-01,ACTIVO
31,68,0,2022-02-01,ACTIVO
31,69,0,2022-02-01,ACTIVO
32,70,0,1900-01-01,ACTIVO
32,71,0,1900-01-01,ACTIVO
33,72,1,2021-12-20,ACTIVO
33,73,0,2021-05-29,ACTIVO
34,74,0,1900-01-01,ACTIVO
34,75,0,1900-01-01,ACTIVO
35,76,0,1900-01-01,ACTIVO
35,77,0,1900-01-01,ACTIVO
35,78,0,1900-01-01,ACTIVO
36,79,0,1900-01-01,ACTIVO
36,80,0,1900-01-01,ACTIVO
37,81,1,2019-12-27,ACTIVO
38,82,0,1900-01-01,ACTIVO
38,83,0,1900-01-01,ACTIVO
39,84,1,2021-09-10,ACTIVO
39,85,1,2021-09-10,ACTIVO
40,86,1,2018-03-02,ACTIVO
41,87,1,2020-11-17,ACTIVO
42,88,0,1900-01-01,ACTIVO
42,89,0,1900-01-01,ACTIVO
43,90,1,2021-03-25,ACTIVO
44,91,0,1900-01-01,ACTIVO
45,92,1,2021-11-08,ACTIVO
45,93,1,2021-11-08,ACTIVO
46,94,1,2021-05-18,ACTIVO
46,95,1,2020-12-28,ACTIVO
47,96,1,1900-01-01,ACTIVO
47,97,1,1900-01-01,ACTIVO
47,98,1,2018-11-21,ACTIVO
47,99,1,1900-01-01,ACTIVO
48,100,1,2019-12-13,ACTIVO
48,101,1,2019-12-13,ACTIVO
49,102,1,2022-02-14,ACTIVO
49,103,1,2021-11-23,ACTIVO
49,104,1,2022-02-14,ACTIVO
49,105,1,2022-02-14,ACTIVO
50,106,0,2022-03-01,ACTIVO
50,107,1,2022-02-19,ACTIVO
50,108,1,2021-09-28,ACTIVO
51,109,1,2021-10-08,ACTIVO
51,110,1,2021-10-08,ACTIVO
52,111,1,1900-01-01,ACTIVO
52,112,1,2021-12-09,ACTIVO
52,113,1,2021-12-09,ACTIVO
52,114,1,2021-12-09,ACTIVO
53,115,1,2021-12-27,ACTIVO
53,116,1,2021-12-27,ACTIVO
54,117,1,2018-03-20,ACTIVO
54,118,0,2022-01-22,ACTIVO
55,119,1,2021-09-28,ACTIVO
55,120,1,2021-09-28,ACTIVO
55,121,1,2021-09-28,ACTIVO
56,122,1,2021-04-20,ACTIVO
57,123,1,1900-01-01,ACTIVO
57,124,1,2019-07-09,ACTIVO
57,125,1,2021-12-03,ACTIVO
57,126,1,2021-10-22,ACTIVO
57,127,1,2015-10-24,ACTIVO
57,128,1,2021-12-03,ACTIVO
58,129,1,2019-12-17,ACTIVO
58,130,1,1900-01-01,ACTIVO
59,131,1,2022-02-09,ACTIVO
60,132,0,1900-01-01,ACTIVO
60,133,0,1900-01-01,ACTIVO
61,134,1,2021-05-12,ACTIVO
61,135,1,2021-01-23,ACTIVO
61,136,0,2021-06-22,ACTIVO
62,137,0,1900-01-01,ACTIVO
62,138,0,1900-01-01,ACTIVO
63,139,1,2022-02-24,ACTIVO
63,140,1,2022-02-24,ACTIVO
64,141,1,2021-11-09,ACTIVO
65,142,1,2021-07-02,ACTIVO
66,143,0,2019-07-17,ACTIVO
66,144,0,1900-01-01,ACTIVO
67,145,1,2021-06-28,ACTIVO
67,146,1,2021-06-28,ACTIVO
68,147,1,2022-02-12,ACTIVO
69,148,1,2022-02-21,ACTIVO
70,149,1,2019-12-18,ACTIVO
70,150,1,2019-12-18,ACTIVO
71,151,1,2021-03-25,ACTIVO
71,152,1,2021-03-25,ACTIVO
72,153,1,2021-02-27,ACTIVO
72,154,1,2021-02-27,ACTIVO
73,155,0,1900-01-01,ACTIVO
73,156,0,2022-01-22,ACTIVO
73,157,1,2021-07-13,ACTIVO
74,158,1,2021-11-03,ACTIVO
75,159,1,1900-01-01,ACTIVO
75,160,1,2019-07-10,ACTIVO
75,161,1,2019-07-10,ACTIVO
75,162,1,2020-04-01,ACTIVO
76,163,0,1900-01-01,ACTIVO
76,164,0,1900-01-01,ACTIVO
77,165,1,2021-04-30,ACTIVO
77,166,1,2021-04-30,ACTIVO
77,167,0,1900-01-01,ACTIVO
77,168,1,2021-05-04,ACTIVO
77,169,1,2021-05-04,ACTIVO
78,170,0,2021-05-05,ACTIVO
78,171,0,2021-05-05,ACTIVO
79,172,0,2021-11-24,ACTIVO
80,173,0,1900-01-01,ACTIVO
80,174,0,1900-01-01,ACTIVO
80,175,0,1900-01-01,ACTIVO
